# timestamps [seconds],pts
91177.777054,8183354
91177.798600,8184766
91177.838532,8187383
91177.856827,8188582
91177.898408,8191307
91177.932770,8193559
91177.977036,8196460
91178.021973,8199405
91178.046082,8200985
91178.088669,8203776
91178.114152,8205446
91178.155427,8208151
91178.180497,8209794
91178.223466,8212610
91178.246461,8214117
91178.267167,8215474
91178.310670,8218325
91178.335480,8219951
91178.379746,8222852
91178.403214,8224390
91178.438615,8226709
91178.460068,8228115
91178.495042,8230407
91178.536988,8233156
91178.573365,8235540
91178.617539,8238435
91178.636033,8239647
91178.680451,8242558
91178.698746,8243757
91178.739381,8246420
91178.757584,8247613
91178.801560,8250495
91178.832581,8252528
91178.871659,8255089
91178.894852,8256609
91178.937638,8259413
91178.983674,8262430
91179.009141,8264099
91179.049500,8266744
91179.071534,8268188
91179.116502,8271135
91179.139344,8272632
91179.183198,8275506
91179.206956,8277063
91179.251557,8279986
91179.274964,8281520
91179.318467,8284371
91179.341904,8285907
91179.387177,8288874
91179.405762,8290092
91179.451295,8293075
91179.471146,8294376
91179.510285,8296941
91179.528260,8298119
91179.563126,8300404
91179.603165,8303028
91179.636567,8305217
91179.675263,8307753
91179.691956,8308847
91179.733262,8311554
91179.765839,8313689
91179.807679,8316431
91179.824753,8317550
91179.864594,8320161
91179.909028,8323073
91179.954636,8326062
91179.977570,8327565
91180.021043,8330414
91180.045731,8332032
91180.087037,8334739
91180.112321,8336396
91180.154557,8339164
91180.180344,8340854
91180.221894,8343577
91180.248093,8345294
91180.289643,8348017
91180.314545,8349649
91180.334733,8350972
91180.373032,8353482
91180.391328,8354681
91180.428376,8357108
91180.467560,8359676
91180.501282,8361886
91180.540650,8364466
91180.560578,8365772
91180.602311,8368507
91180.636429,8370743
91180.675278,8373289
91180.694199,8374529
91180.736848,8377324
91180.780793,8380204
91180.825669,8383145
91180.848115,8384616
91180.870377,8386075
91180.914033,8388936
91180.937485,8390473
91180.981538,8393360
91181.004853,8394888
91181.049027,8397783
91181.072037,8399291
91181.115266,8402124
91181.139130,8403688
91181.182130,8406506
91181.205933,8408066
91181.249543,8410924
91181.272919,8412456
91181.313935,8415144
91181.331971,8416326
91181.368821,8418741
91181.401688,8420895
91181.438981,8423338
91181.457139,8424528
91181.497254,8427157
91181.529160,8429248
91181.571397,8432016
91181.608262,8434432
91181.628236,8435741
91181.672043,8438612
91181.705216,8440786
91181.728547,8442315
91181.763276,8444591
91181.809769,8447638
91181.832322,8449116
91181.874711,8451894
91181.919633,8454838
91181.943635,8456411
91181.986420,8459215
91182.010285,8460779
91182.053879,8463636
91182.078873,8465274
91182.120911,8468029
91182.145371,8469632
91182.188096,8472432
91182.212617,8474039
91182.248902,8476417
91182.274354,8478085
91182.313157,8480628
91182.338700,8482302
91182.371842,8484474
91182.395524,8486026
91182.428940,8488215
91182.467133,8490718
91182.501130,8492946
91182.538315,8495383
91182.559006,8496739
91182.601258,8499508
91182.634415,8501681
91182.673691,8504255
91182.691834,8505444
91182.734666,8508251
91182.779755,8511206
91182.806122,8512934
91182.845627,8515523
91182.870850,8517176
91182.913529,8519973
91182.938584,8521615
91182.981492,8524427
91183.006715,8526080
91183.048218,8528800
91183.072907,8530418
91183.115494,8533209
91183.140107,8534822
91183.181092,8537508
91183.202988,8538943
91183.238755,8541287
91183.264908,8543001
91183.297791,8545156
91183.338669,8547835
91183.372147,8550029
91183.395173,8551538
91183.431809,8553938
91183.472871,8556629
91183.508103,8558938
91183.529862,8560364
91183.563264,8562553
91183.609086,8565556
91183.625672,8566643
91183.665284,8569239
91183.706971,8571971
91183.752686,8574967
91183.775819,8576483
91183.818528,8579282
91183.841874,8580812
91183.885850,8583694
91183.909074,8585216
91183.953080,8588100
91183.977189,8589680
91184.020203,8592499
91184.043320,8594014
91184.087556,8596913
91184.110459,8598414
91184.148942,8600936
91184.166840,8602109
91184.204285,8604563
91184.222886,8605782
91184.262269,8608363
91184.299195,8610783
91184.337723,8613308
91184.370774,8615474
91184.410523,8618078
91184.428467,8619254
91184.465913,8621708
91184.500397,8623968
91184.534348,8626193
91184.579743,8629168
91184.602296,8630646
91184.645295,8633464
91184.669587,8635056
91184.712861,8637892
91184.737504,8639507
91184.779130,8642235
91184.802979,8643798
91184.846070,8646622
91184.870469,8648221
91184.913148,8651018
91184.937897,8652640
91184.980302,8655419
91185.006226,8657118
91185.047562,8659827
91185.071931,8661424
91185.106476,8663688
91185.127518,8665067
91185.161576,8667299
91185.198060,8669690
91185.232545,8671950
91185.273041,8674604
91185.290101,8675722
